timestamp,attention_entropy,memory_diversity,velocity_stability,identity_coherence,cluster_stability,affective_strength,essence_trajectory,average_essence
0,0,0,1,0.9999999,0.1,0,5,5
1,0.6928184,0,1,1,0.16,0,5,5
2,1.0977358,0,0.9999999,1,0.22,0,5,5
3,1.3846519,0,1,1,0.28,0,5,5
4,1.6068113,0,1,1,0.34,0,5,5
5,1.7879318,0,0.9999999,1,0.35999998,0,5,5
6,1.9406655,0,1,1,0.38,0,5,5
7,2.0725646,0,1,1,0.4,0,5,5
8,2.1885016,0,0.9999999,1,0.42,0,5,5
9,2.2918038,0,1,1,0.42,0,5,5
10,2.3848448,0,1,1,0.44,0,5,5
11,2.4693782,0,0.9999999,1,0.44,0,5,5
12,2.5467358,0,1,1,0.44,0,5,5
13,2.6179538,0,1,1,0.44,0,5,5
14,2.6838536,0,0.9999999,1,0.44,0,5,5
15,2.7450986,0,1,1,0.45999998,0,5,5
16,2.8022318,0,1,1,0.48000002,0,5,5
17,2.855703,0,0.9999999,1,0.48000002,0,5,5
18,2.905891,0,1,1,0.48000002,0,5,5
19,2.9531145,0,1,1,0.48000002,0,5,5
20,2.9976478,0,0.9999999,1,0.48000002,0,5,5
21,3.0397274,0,1,1,0.48000002,0,5,5
22,3.0795581,0,1,1,0.48000002,0,5,5
23,3.1173193,0,0.9999999,1,0.5,0,5,5
24,3.153169,0,1,1,0.5,0,5,5
25,3.1872466,0,1,1,0.52,0,5,5
26,3.2196763,0,0.9999999,1,0.54,0,5,5
27,3.2505698,0,1,1,0.54,0,5,5
28,3.280028,0,1,0.9999999,0.54,0,5,5
29,3.3081403,0,0.9999999,1,0.54,0,5,5
30,3.3349884,0,1,1,0.54,0,5,5
31,3.3606467,0,1,1,0.56,0,5,5
32,3.3851838,0,0.9999999,1,0.56,0,5,5
33,3.408661,0,1,1,0.56,0,5,5
34,3.4311364,0,1,1,0.56,0,5,5
35,3.4526627,0,0.9999999,1,0.56,0,5,5
36,3.473288,0,1,1,0.56,0,5,5
37,3.4930577,0,1,1,0.56,0,5,5
38,3.512014,0,0.9999999,1,0.56,0,5,5
39,3.5301967,0,1,1,0.56,0,5,5
40,3.5476413,0,1,1,0.56,0,5,5
41,3.564382,0,0.9999999,1,0.56,0,5,5
42,3.5804515,0,1,1,0.58000004,0,5,5
43,3.595879,0,1,0.9999999,0.58000004,0,5,5
44,3.6106935,0,0.9999999,1,0.58000004,0,5,5
45,3.6249213,0,1,0.9999999,0.58000004,0,5,5
46,3.6385872,0,1,1,0.58000004,0,5,5
47,3.6517162,0,0.9999999,1,0.58000004,0,5,5
48,3.6643302,0,1,1,0.58000004,0,5,5
49,3.6764503,0,1,1,0.58000004,0,5,5
50,3.688097,0,0.9999999,1,0.58000004,0,5,5
51,3.6992888,0,1,1,0.58000004,0,5,5
52,3.710046,0,1,1,0.58000004,0,5,5
53,3.7203841,0,0.9999999,1,0.58000004,0,5,5
54,3.7303205,0,1,1,0.6,0,5,5
55,3.7398708,0,1,1,0.6,0,5,5
56,3.7490506,0,0.9999999,1,0.6,0,5,5
57,3.7578747,0,1,1,0.6,0,5,5
58,3.766356,0,1,1,0.6,0,5,5
59,3.7745082,0,0.9999999,1,0.6,0,5,5
60,3.782344,0,1,1,0.6,0,5,5
61,3.7898755,0,1,1,0.6,0,5,5
62,3.7971146,0,0.9999999,1,0.6,0,5,5
63,3.8040726,0,1,1,0.6,0,5,5
64,3.81076,0,1,1,0.6,0,5,5
65,3.817187,0,0.9999999,0.9999999,0.6,0,5,5
66,3.8233628,0,1,1,0.6,0,5,5
67,3.8292992,0,1,0.9999999,0.6,0,5,5
68,3.8350024,0,0.9999999,1,0.6,0,5,5
69,3.8404841,0,1,1,0.6,0,5,5
70,3.8457503,0,1,1,0.6,0,5,5
71,3.8508103,0,0.9999999,1,0.6,0,5,5
72,3.8556721,0,1,1,0.6,0,5,5
73,3.8603425,0,1,1,0.6,0,5,5
74,3.8648293,0,0.9999999,0.9999999,0.6,0,5,5
75,3.8691392,0,1,1,0.6,0,5,5
76,3.8732803,0,1,1,0.6,0,5,5
77,3.8772564,0,0.9999999,1,0.6,0,5,5
78,3.8810744,0,1,1,0.6,0,5,5
79,3.8847432,0,1,1,0.6,0,5,5
80,3.8882651,0,0.9999999,1,0.6,0,5,5
81,3.8916466,0,1,1,0.6,0,5,5
